"dage","chlamydiaNot applicable","chlamydiaNo","chlamydiaYes","chlamydiaNot answered","chlamydiaCan't remember which STD","se.chlamydiaNot applicable","se.chlamydiaNo","se.chlamydiaYes","se.chlamydiaNot answered","se.chlamydiaCan't remember which STD"
16,0.138029359567977,0.839852114533153,0.01114612771246,0.00912884050015324,0.00184355768625654,0.018575164142902,0.0190482845458829,0.00633397422895283,0.00428649371328998,0.00184285544854449
17,0.111649508483584,0.858279409647639,0.0106319784250353,0.0175584855979753,0.00188061784576636,0.016770290606658,0.0183355907319965,0.00455155691349444,0.00671430248821244,0.00187936916716704
18,0.0714889548117593,0.87604158938895,0.0447520734418622,0.00452292499379679,0.0031944573636316,0.0125254959227948,0.0156452275297481,0.00954568936081421,0.00346723330029012,0.00225073805374394
19,0.056770790236725,0.855370583067966,0.0784499284275303,0.00313796352015887,0.00627073474761981,0.0131913860169775,0.0201526109875783,0.0142584556663877,0.00232689972465357,0.00622968109056952
20,0.0575608475480388,0.879358133446889,0.0578025573164867,0.00341797079694624,0.00186049089163914,0.0172424107565332,0.0201882249626852,0.0117666644681625,0.00198521425590342,0.00187125830336439
21,0.0304611438639797,0.849554639248849,0.0880584139495302,0.0223737662376298,0.00955203670001103,0.0108188114003925,0.0196954111135855,0.0144023321832251,0.00780118800615235,0.00644344957900992
22,0.0494100756909207,0.852975927445862,0.0947558486268242,0.00285814823639323,0,0.0138166443326367,0.0199470853499157,0.0150305328530431,0.00285514510846898,0
23,0.029466267462701,0.819233501568207,0.122099507037465,0.0183278050123301,0.0108729189192972,0.0092111732113237,0.0216441357016628,0.0175216383130287,0.00813665335272093,0.0079570543125146
24,0.0120268794835164,0.846040955308033,0.111895058247385,0.023499596178202,0.00653751078286435,0.00631821612820777,0.022489596786273,0.019621853065649,0.0108162781019323,0.00428428618354094
25,0.0187480202345935,0.851009589202924,0.0995029934465516,0.0164819813581305,0.0142574157578003,0.00948731987638452,0.0193905658861197,0.0160724300995468,0.00614695847482576,0.00613615260878959
26,0.0126293609074301,0.839511701766525,0.120554815232018,0.0200299081926196,0.00727421390140727,0.00749386181808121,0.0201541141983606,0.0175060127479493,0.00719737193204536,0.00385107687074433
27,0.0140844134337561,0.865632923945533,0.100696216815733,0.0171464685938169,0.00243997721116162,0.00672289967460663,0.0179497078340402,0.0158276260026768,0.0058819648619044,0.00243943063003549
28,0.0107806804429514,0.852287539551907,0.10650022711587,0.0156604720451535,0.0147710808441184,0.0049849606799817,0.0179508800610368,0.0152802830659935,0.00625308730746678,0.00706268433984935
29,0.00635988522956995,0.870352155789287,0.0947358098901544,0.026689755794444,0.00186239329654432,0.00476488896052797,0.0164075214193249,0.0138608689521472,0.00790550253360432,0.00186158723609057
30,0.00198232703317657,0.870182982278961,0.101462933297128,0.0263717573907338,0,0.00198256620414861,0.0212809653557088,0.0183584478019549,0.0102965157380095,0
31,0.00541798563911685,0.851391574702675,0.0888810935682925,0.0524103245580788,0.00189902153183698,0.00539783030417924,0.0204649659580397,0.0166663723308862,0.012124268296127,0.00189865271465995
32,0.00842400642962003,0.866412565077531,0.0928913325443352,0.0227885228450335,0.00948357310348037,0.00545501578363711,0.0193898342417974,0.0162128276618201,0.00759539200883496,0.0056124711672638
33,0.00190857725591526,0.867887719348294,0.0838760561138693,0.037708377060747,0.00861927022117398,0.00190858572946707,0.0204371531204035,0.0168000968568946,0.0117599610218024,0.00506565881400781
34,0.00435411990288042,0.894760386322444,0.0711078130891393,0.0153384893939778,0.0144391912915585,0.00307188703310233,0.0190744326630721,0.0146253555314745,0.00663541439013022,0.0104093407394443
35,0.00338049614314009,0.919772898095937,0.0520478682108267,0.0140751549607321,0.010723582589364,0.00337996106189263,0.018272454178752,0.0142613233111721,0.00823228806300181,0.00762727971486873
36,0,0.876188165544293,0.0730490517541997,0.0423192950141139,0.00844348768739381,0,0.0298675567055297,0.0233119357628918,0.0205178641191797,0.00846387674058298
37,0,0.939405079568291,0.0220189652669481,0.0234297487788408,0.0151462063859202,0,0.0182312781682043,0.00823930133489789,0.0130434720525734,0.0105831403488679
38,0,0.902785401518647,0.0386928057542404,0.0585217927271122,0,0,0.0242191113623776,0.0131471906531788,0.0211901149683683,0
39,0,0.93356334999546,0.0411931700528474,0.018891347643126,0.00635213230856638,0,0.017851420900094,0.0141844105663604,0.00997171694852857,0.0062457051194261
40,0,0.925555103747359,0.0647492381472299,0.00473514077147775,0.00496051733393316,0,0.0212502337816327,0.0203129064095113,0.00472769600428864,0.0049515983497407
41,0,0.924385357529252,0.0330524781466587,0.0425621643240895,0,0,0.0190157049080016,0.0122606906563547,0.0149792473291148,0
42,0.00225896042954179,0.935977996550418,0.0319969644969191,0.0227975709855074,0.00696850753761342,0.00226409094988325,0.0159555474364056,0.0107610104438569,0.0108461651844308,0.00543438149091819
43,0,0.945372546611391,0.0277709430501667,0.0188995286280884,0.00795698171035364,0,0.0163065255375477,0.0102916416618282,0.0111975089895673,0.00624607580080389
44,0.0114919773738764,0.922751672894648,0.0226791267487573,0.0378118875739073,0.00526533540881095,0.00809716542955806,0.020502970091557,0.0102392293956867,0.0159549559197665,0.00525582798376371
45,0,0.926604910333056,0.0360742525914066,0.0373208370755372,0,0,0.0192544094322505,0.013603645393857,0.013495339149231,0
46,0.00620509716397898,0.906658535256375,0.0415607610526693,0.0455756065269765,0,0.00445887507465421,0.0208058970275492,0.014560818565149,0.0157251690065757,0
47,0,0.913793337416245,0.0279183900500029,0.0529863365571241,0.00530193597662784,0,0.0225149224489134,0.0127076481368006,0.018703242225646,0.00526057454212508
48,0,0.935556661231109,0.0195692997285089,0.0448740390403817,0,0,0.0197248559671163,0.00851257705143884,0.018066677472919,0
49,0,0.933836450047556,0.0161890763073406,0.035809996451168,0.014164477193935,0,0.0165549202744187,0.00902416998052534,0.012364845016484,0.00676052095121917
50,0,0.944488328789291,0.0145484115035846,0.0409632597071247,0,0,0.0191979028092423,0.00831930247174402,0.0175237617614859,0
51,0,0.966361280337668,0.0102327902863755,0.0149691676449715,0.00843676173098557,0,0.0119359979022023,0.00624981461957665,0.00766751928622821,0.00678281844306143
52,0.00353783756979983,0.910357781419929,0.0162862379836125,0.0449255131720112,0.0248926298546478,0.00353774433162946,0.0239789728101847,0.00974353242718641,0.016572932188283,0.014800685900814
53,0.00267066183042241,0.916267639436803,0.033835189337041,0.0472265093957335,0,0.00266517285315022,0.0218278859171586,0.0127868224837977,0.0184055515078303,0
54,0,0.901916693966379,0.0337163356832215,0.0504149544855237,0.0139520158648763,0,0.0271732906728689,0.0170095129591118,0.0178736231505993,0.0138118699701524
55,0,0.951786428076489,0.00726346863498465,0.0409501032885267,0,0,0.0165261185557443,0.00539741433965452,0.0155768399820246,0
56,0.00703426833139782,0.956807403144173,0.00671139141559419,0.0264999021653321,0.0029470349435026,0.00498617007909219,0.0162501117097389,0.0066956245624545,0.0137338704465141,0.00295121043482755
57,0.00830217362430917,0.929724958338705,0.00851320176522302,0.0534596662717629,0,0.00491285077889946,0.0209454738413126,0.00620958706183634,0.0197584986787354,0
58,0.00775605138489098,0.947598059610032,0.0117494032234769,0.0328964857816006,0,0.00769456612442686,0.0179060868461114,0.00701698862556954,0.0149077130467534,0
59,0,0.896990000551303,0.0188789658769917,0.0794179950762155,0.00471303849548954,0,0.0277698643746931,0.0119415432060245,0.0252823188023306,0.00470771908682585
60,0.00382611458438192,0.918702917847069,0.00926569621969204,0.0609288998017258,0.00727637154713093,0.00382434788214594,0.0222423374000447,0.00751173780302149,0.0194216323282598,0.00731376889856386
61,0,0.906514351875056,0.00784184244057724,0.0643692698109016,0.0212745358734649,0,0.0246525455261638,0.00778558804979016,0.0201403070702667,0.0134512695304676
62,0.0102649848155479,0.929543313325078,0.00445612677545622,0.035875412566945,0.0198601625169728,0.0059359827427983,0.018134298375982,0.00445002392946517,0.0135153490530844,0.0101364955258521
63,0.00613932645794117,0.923109375511765,0.00263328864855482,0.0681180093817394,0,0.00435011412201116,0.0206682117752127,0.00263325540442952,0.0201315912770992,0
64,0.0177337576598472,0.890859309669439,0,0.086152370472726,0.00525456219798752,0.00675616673354205,0.0242063338374636,0,0.0233426846622797,0.00371997379971748
65,0.00372563484759987,0.967269539014179,0,0.0290048261382209,0,0.00372216314352447,0.0117662358744221,0,0.0111814767536201,0
66,0.00669788705487303,0.861791776417091,0,0.131510336528036,0,0.00474028130058088,0.0285174232685673,0,0.0281641066640816,0
67,0.0100089392638497,0.903048661152033,0.00279601752948976,0.07850298834471,0.00564339370991769,0.00763647026298042,0.0224174779908447,0.00278122112677038,0.0207156163019019,0.00559705922369232
68,0,0.948472162060192,0.00665290199647727,0.0370008439177621,0.00787409202556901,0,0.0169594366423748,0.00663261076075917,0.0136846406011696,0.00784042506845686
69,0.00358364853971483,0.852347797403596,0,0.14406855405669,0,0.0035828435775827,0.0299170226496257,0,0.0297849380182219,0
70,0,0.844172749311657,0,0.13393025499852,0.021896995689823,0,0.0332829445780809,0,0.0314138216617123,0.012876215354466
71,0.00673843172572873,0.860175624343223,0.00661060912056645,0.122076706351538,0.00439862845894413,0.00671970645076529,0.0340149504147129,0.00659308633442235,0.0329783636738606,0.00439671370210404
72,0.00496806074181705,0.862202264351706,0.00533431155844542,0.123899964075771,0.00359539927226026,0.00496252937004415,0.0308933979689016,0.00532641617524822,0.0301275358788929,0.00359633357637549
73,0.00535433100552382,0.908392603629878,0,0.075776697907158,0.01047636745744,0.00535299565663643,0.0263807381292253,0,0.0248859895135182,0.00741216174590433
74,0.00787291525070067,0.886039196853302,0.00719107866756694,0.0988968092284309,0,0.00785646590116361,0.0401917693852366,0.00718096564514723,0.0390957904613699,0
